Place of Work,Shenzhen Area,Dongguan/ Huizhou/ Jiangmen/ Zhongshan/ Zhuhai Area,Guangzhou Area,Other areas in Guangdong Province,Shanghai,Beijing,Fujian Province,Other Provinces
Central and Western,418.0,331.0,39.0,126.0,127.0,159.0,254.0,191.0
Wan Chai(2),281.0,75.0,89.0,24.0,133.0,176.0,-,107.0
Eastern(2),988.0,775.0,185.0,270.0,486.0,224.0,139.0,461.0
Southern,276.0,464.0,131.0,171.0,67.0,82.0,196.0,67.0
Yau Tsim Mong,497.0,409.0,206.0,345.0,300.0,106.0,246.0,336.0
Sham Shui Po,418.0,389.0,405.0,251.0,176.0,-,58.0,175.0
Kowloon City,973.0,549.0,524.0,215.0,210.0,71.0,132.0,242.0
Wong Tai Sin,535.0,532.0,136.0,256.0,147.0,47.0,-,166.0
Kwun Tong,803.0,837.0,677.0,344.0,30.0,-,48.0,97.0
Kwai Tsing,991.0,428.0,264.0,446.0,82.0,-,96.0,221.0
Tsuen Wan,715.0,769.0,172.0,198.0,157.0,81.0,26.0,336.0
Tuen Mun,964.0,1439.0,393.0,458.0,33.0,115.0,33.0,235.0
Yuen Long,1034.0,1282.0,345.0,321.0,242.0,-,22.0,420.0
North,463.0,895.0,159.0,245.0,92.0,32.0,53.0,158.0
Tai Po,217.0,732.0,190.0,113.0,160.0,146.0,-,188.0
Sha Tin,1230.0,1694.0,538.0,693.0,178.0,162.0,42.0,360.0
Sai Kung,632.0,1166.0,303.0,243.0,243.0,57.0,115.0,365.0
Islands,119.0,305.0,83.0,89.0,36.0,51.0,168.0,217.0
